arm,init,seed,cv_mse_0,cv_mse,improvement,beat_start,r2_0,r2,heuristic_r2,heuristic_cv,evals_to_heuristic,rmse_0,rmse,evals,seconds,error
scipy-de,cold,0,0.006495,0.005230,0.194775,1,0.862517,0.877035,0.858037,0.006256,3,6.0175,5.6910,2000,33.22,
scipy-de,cold,1,0.006025,0.005048,0.162048,1,0.819187,0.822236,0.832372,0.005528,5,6.8657,6.8075,2000,32.21,
scipy-de,cold,2,0.006439,0.005282,0.179626,1,0.835648,0.836899,0.808888,0.006182,5,6.3587,6.3345,2000,32.64,
scipy-de,cold,3,0.006382,0.005099,0.200987,1,0.867659,0.880631,0.858451,0.005990,3,6.2242,5.9113,2000,36.10,
scipy-de,cold,4,0.006222,0.005243,0.157421,1,0.845693,0.872724,0.755459,0.007497,0,6.8329,6.2056,2000,34.33,
scipy-de,cold,5,0.006533,0.005319,0.185850,1,0.811983,0.850750,0.842144,0.006414,2,6.6406,5.9165,2000,32.51,
scipy-de,cold,6,0.005782,0.005365,0.071990,1,0.890228,0.880862,0.862466,0.006464,0,5.9571,6.2060,2000,33.12,
scipy-de,cold,7,0.005357,0.005169,0.035044,1,0.846885,0.843675,0.870453,0.006181,0,6.3711,6.4376,2000,32.60,
scipy-de,cold,8,0.006406,0.005380,0.160080,1,0.871015,0.891178,0.872438,0.006707,0,5.7962,5.3239,2000,33.15,
scipy-de,cold,9,0.006225,0.005395,0.133280,1,0.859335,0.869648,0.849755,0.006677,0,5.8264,5.6088,2000,32.55,
opt-ga,cold,0,0.006495,0.004588,0.293606,1,0.862517,0.879690,0.858037,0.006256,1,6.0175,5.6292,2000,30.39,
opt-ga,cold,1,0.006025,0.004353,0.277421,1,0.819187,0.866400,0.832372,0.005528,26,6.8657,5.9016,2000,30.15,
opt-ga,cold,2,0.006439,0.004427,0.312509,1,0.835648,0.819019,0.808888,0.006182,1,6.3587,6.6727,2000,28.10,
opt-ga,cold,3,0.006382,0.004569,0.284074,1,0.867659,0.895936,0.858451,0.005990,4,6.2242,5.5193,2000,27.73,
opt-ga,cold,4,0.006222,0.004487,0.278878,1,0.845693,0.861827,0.755459,0.007497,0,6.8329,6.4658,2000,29.25,
opt-ga,cold,5,0.006533,0.004794,0.266254,1,0.811983,0.844243,0.842144,0.006414,1,6.6406,6.0441,2000,27.48,
opt-ga,cold,6,0.005782,0.004635,0.198269,1,0.890228,0.887534,0.862466,0.006464,0,5.9571,6.0297,2000,27.61,
opt-ga,cold,7,0.005357,0.004366,0.185032,1,0.846885,0.845814,0.870453,0.006181,0,6.3711,6.3934,2000,27.62,
opt-ga,cold,8,0.006406,0.004704,0.265696,1,0.871015,0.897744,0.872438,0.006707,0,5.7962,5.1608,2000,27.98,
opt-ga,cold,9,0.006225,0.004558,0.267669,1,0.859335,0.888667,0.849755,0.006677,0,5.8264,5.1835,2000,27.63,
opt-pso,cold,0,0.006495,0.005442,0.162122,1,0.862517,0.884735,0.858037,0.006256,1,6.0175,5.5099,2000,27.97,
opt-pso,cold,1,0.006025,0.005226,0.132511,1,0.819187,0.834826,0.832372,0.005528,26,6.8657,6.5620,2000,26.83,
opt-pso,cold,2,0.006439,0.005263,0.182716,1,0.835648,0.867813,0.808888,0.006182,1,6.3587,5.7027,2000,28.25,
opt-pso,cold,3,0.006382,0.005277,0.173087,1,0.867659,0.883213,0.858451,0.005990,4,6.2242,5.8470,2000,27.95,
opt-pso,cold,4,0.006222,0.005280,0.151387,1,0.845693,0.861291,0.755459,0.007497,0,6.8329,6.4784,2000,28.06,
opt-pso,cold,5,0.006533,0.005254,0.195769,1,0.811983,0.841626,0.842144,0.006414,1,6.6406,6.0946,2000,28.66,
opt-pso,cold,6,0.005782,0.005423,0.062058,1,0.890228,0.898895,0.862466,0.006464,0,5.9571,5.7171,2000,27.34,
opt-pso,cold,7,0.005357,0.005304,0.009900,1,0.846885,0.871756,0.870453,0.006181,0,6.3711,5.8308,2000,28.26,
opt-pso,cold,8,0.006406,0.005560,0.132040,1,0.871015,0.885255,0.872438,0.006707,0,5.7962,5.4668,2000,27.21,
opt-pso,cold,9,0.006225,0.005213,0.162586,1,0.859335,0.885242,0.849755,0.006677,0,5.8264,5.2626,2000,29.02,
opt-aco,cold,0,0.006495,0.004783,0.263676,1,0.862517,0.892745,0.858037,0.006256,1,6.0175,5.3150,2000,30.02,
opt-aco,cold,1,0.006025,0.004762,0.209564,1,0.819187,0.847551,0.832372,0.005528,26,6.8657,6.3042,2000,29.13,
opt-aco,cold,2,0.006439,0.004833,0.249416,1,0.835648,0.862745,0.808888,0.006182,1,6.3587,5.8110,2000,28.41,
opt-aco,cold,3,0.006382,0.004928,0.227783,1,0.867659,0.889744,0.858451,0.005990,4,6.2242,5.6811,2000,30.81,
opt-aco,cold,4,0.006222,0.004843,0.221760,1,0.845693,0.870303,0.755459,0.007497,0,6.8329,6.2644,2000,30.64,
opt-aco,cold,5,0.006533,0.004942,0.243589,1,0.811983,0.850345,0.842144,0.006414,1,6.6406,5.9245,2000,31.93,
opt-aco,cold,6,0.005782,0.005102,0.117546,1,0.890228,0.880549,0.862466,0.006464,0,5.9571,6.2142,2000,30.68,
opt-aco,cold,7,0.005357,0.004822,0.099818,1,0.846885,0.876819,0.870453,0.006181,0,6.3711,5.7145,2000,30.80,
opt-aco,cold,8,0.006406,0.005031,0.214681,1,0.871015,0.882770,0.872438,0.006707,0,5.7962,5.5257,2000,28.55,
opt-aco,cold,9,0.006225,0.004727,0.240602,1,0.859335,0.868275,0.849755,0.006677,0,5.8264,5.6382,2000,29.09,
