arm,init,seed,budget,cv_mse,r2,r2_0,heuristic_r2,seconds
opt-aco,hot,7,125,0.005548,0.869041,0.870453,0.870453,2.10
opt-aco,hot,7,250,0.005452,0.851152,0.870453,0.870453,4.26
opt-aco,hot,7,500,0.005256,0.873735,0.870453,0.870453,8.43
opt-aco,hot,7,1000,0.005068,0.885196,0.870453,0.870453,17.64
opt-aco,hot,7,2000,0.004843,0.876053,0.870453,0.870453,34.40
opt-aco,hot,8,125,0.005686,0.873494,0.872438,0.872438,1.99
opt-aco,hot,8,250,0.005444,0.895708,0.872438,0.872438,4.09
opt-aco,hot,8,500,0.005426,0.874614,0.872438,0.872438,8.24
opt-aco,hot,8,1000,0.005252,0.882580,0.872438,0.872438,16.72
opt-aco,hot,8,2000,0.004885,0.890648,0.872438,0.872438,33.98
opt-aco,hot,9,125,0.005457,0.865664,0.849755,0.849755,2.13
opt-aco,hot,9,250,0.005457,0.865664,0.849755,0.849755,4.52
opt-aco,hot,9,500,0.005453,0.868463,0.849755,0.849755,8.89
opt-aco,hot,9,1000,0.005033,0.869030,0.849755,0.849755,17.06
opt-aco,hot,9,2000,0.004652,0.870694,0.849755,0.849755,33.48
opt-gd,hot,0,125,0.006256,0.858037,0.858037,0.858037,1.98
opt-gd,hot,0,250,0.005904,0.861929,0.858037,0.858037,3.95
opt-gd,hot,0,500,0.005830,0.863236,0.858037,0.858037,7.86
opt-gd,hot,0,1000,0.005424,0.869370,0.858037,0.858037,15.75
opt-gd,hot,0,2000,0.005417,0.869456,0.858037,0.858037,31.96
opt-gd,hot,1,125,0.005528,0.832372,0.832372,0.832372,2.21
opt-gd,hot,1,250,0.005002,0.838825,0.832372,0.832372,4.32
opt-gd,hot,1,500,0.004293,0.821977,0.832372,0.832372,8.14
opt-gd,hot,1,1000,0.004055,0.806802,0.832372,0.832372,15.61
opt-gd,hot,1,2000,0.003821,0.845483,0.832372,0.832372,30.32
opt-gd,hot,2,125,0.006182,0.808888,0.808888,0.808888,1.77
opt-gd,hot,2,250,0.005570,0.823126,0.808888,0.808888,3.68
opt-gd,hot,2,500,0.004708,0.853877,0.808888,0.808888,7.41
opt-gd,hot,2,1000,0.004152,0.853105,0.808888,0.808888,15.49
opt-gd,hot,2,2000,0.003725,0.865521,0.808888,0.808888,30.97
opt-gd,hot,3,125,0.005990,0.858451,0.858451,0.858451,2.00
