source,instance,n,arm,gap_pct,seconds,q_arm_mean,detail
benchmark/small,pcb3038,3038,FIS effort,3.393030923642279,0.058109773000069254,1.0044825042296526,
benchmark/large,pcb3038,3038,FIS effort,3.098900460441268,0.058809694000046875,1.0052625047581623,
benchmark/small,pcb3038,3038,FIS effort+chain,3.7343675105669094,0.04626262900001166,1.007029461345093,
benchmark/large,pcb3038,3038,FIS effort+chain,3.8128023007538454,0.04213349800011201,1.0080664026511228,
benchmark/small,pcb3038,3038,FIS full (fuzzy construction),4.586982729821198,0.044665693999832,1.0182851645016107,
benchmark/large,pcb3038,3038,FIS full (fuzzy construction),3.8222435254985694,0.03896140500000911,1.0132779122445035,
lkh_compare,pcb3038,3038,FIS local search,3.7343675105669094,0.024328700004843995,,
benchmark/small,pcb3038,3038,LK k32/d10/b32,2.9434833761819688,0.09499168899947108,1.0079053264240385,
benchmark/large,pcb3038,3038,LK k32/d10/b32,2.9434833761819688,0.07483423499979835,1.0078036414983984,
lkh_compare,pcb3038,3038,LK k32/d10/b32,2.9434833761819688,0.042395399999804795,,
benchmark/small,pcb3038,3038,LK k32/d2/b4,3.59928537191163,0.04427528299993355,1.003949071971721,
benchmark/large,pcb3038,3038,LK k32/d2/b4,3.59928537191163,0.03501379899989843,1.0040697080289724,
lkh_compare,pcb3038,3038,LK k32/d2/b4,3.59928537191163,0.02290280000306666,,
benchmark/small,pcb3038,3038,LK k32/d3/b8,3.2877249553357446,0.05164260600031412,1.0047638345010088,
benchmark/large,pcb3038,3038,LK k32/d3/b8,3.2877249553357446,0.03933341999982076,1.0050733415359843,
lkh_compare,pcb3038,3038,LK k32/d3/b8,3.2877249553357446,0.026104799995664507,,
benchmark/small,pcb3038,3038,LK k32/d6/b32,3.2811887228201666,0.06864274800000203,1.0035207428679007,
benchmark/large,pcb3038,3038,LK k32/d6/b32,3.2811887228201666,0.057388107999940985,1.003402438675091,
lkh_compare,pcb3038,3038,LK k32/d6/b32,3.2811887228201666,0.03359639999689534,,
lkh_compare,pcb3038,3038,LK k32/d6/b8,3.3530872804915246,0.03303230000892654,,
benchmark/small,pcb3038,3038,LK k48/d10/b32,2.8468923845628713,0.11823253800048406,1.0056517538491074,
benchmark/large,pcb3038,3038,LK k48/d10/b32,2.8468923845628713,0.09103043400000388,1.0055846963209243,
lkh_compare,pcb3038,3038,LK k48/d10/b32,2.8468923845628713,0.052166600013151765,,
lkh_compare,pcb3038,3038,LKH,0.5483172832512673,0.29036730001098476,,nn/trials=1
lkh_compare,pcb3038,3038,LKH,0.3391578427527706,0.423013899999205,,nn/trials=5
lkh_compare,pcb3038,3038,LKH,0.1742995337487472,1.0225610999914352,,nn/trials=25
lkh_compare,pcb3038,3038,LKH,0.05809984458291574,2.5282345000014175,,nn/trials=100
lkh_compare,pcb3038,3038,LKH,0.05156361206733772,24.184957299992675,,nn/trials=1000
lkh_compare,pcb3038,3038,LKH,0.258544308393975,4.856448700011242,,alpha/trials=1
lkh_compare,pcb3038,3038,LKH,0.08279227853065493,5.662456300022313,,alpha/trials=25
lkh_compare,pcb3038,3038,LKH,0.026144930062312083,7.078901400003815,,alpha/trials=100
