arm,init,seed,cv_mse_0,cv_mse,improvement,beat_start,r2_0,r2,heuristic_r2,heuristic_cv,evals_to_heuristic,rmse_0,rmse,evals,seconds,init_seconds,construction_seconds,error
opt-pso,cold,3,0.005521,0.005349,0.031222,1,0.872826,0.867022,0.874722,0.006025,0,6.1015,6.2391,2000,24.49,0.0000,0.2653,
opt-pso,cold,4,0.005913,0.005270,0.108653,1,0.858403,0.858012,0.824534,0.006128,0,6.5454,6.5545,2000,23.71,0.0000,0.2905,
opt-pso,cold,5,0.005789,0.005258,0.091647,1,0.831731,0.786934,0.853000,0.006111,0,6.2822,7.0691,2000,25.18,0.0000,0.2309,
opt-pso,cold,6,0.005952,0.005286,0.111807,1,0.873646,0.882358,0.874481,0.005818,48,6.3912,6.1670,2000,26.23,0.0000,0.2376,
opt-pso,cold,7,0.005712,0.005401,0.054583,1,0.849223,0.852713,0.830188,0.006026,0,6.3223,6.2487,2000,27.93,0.0000,0.2467,
opt-pso,cold,8,0.006069,0.005499,0.093930,1,0.882678,0.896796,0.867871,0.006408,0,5.5279,5.1846,2000,25.92,0.0000,0.2547,
opt-pso,cold,9,0.006701,0.005485,0.181369,1,0.863477,0.875504,0.875211,0.005719,42,5.7400,5.4813,2000,25.10,0.0000,0.2932,
opt-aco,cold,0,0.006022,0.004702,0.219208,1,0.854952,0.874956,0.835445,0.006113,0,6.1809,5.7389,2000,25.10,0.0000,0.2520,
opt-aco,cold,1,0.006062,0.004675,0.228709,1,0.818466,0.848962,0.830070,0.005830,1,6.8793,6.2749,2000,24.47,0.0000,0.2628,
opt-aco,cold,2,0.006063,0.004764,0.214205,1,0.827170,0.813596,0.798067,0.005970,7,6.5207,6.7719,2000,26.76,0.0000,0.2247,
opt-aco,cold,3,0.005521,0.004841,0.123190,1,0.872826,0.887461,0.874722,0.006025,0,6.1015,5.7397,2000,26.08,0.0000,0.2653,
opt-aco,cold,4,0.005913,0.004753,0.196217,1,0.858403,0.872205,0.824534,0.006128,0,6.5454,6.2183,2000,26.46,0.0000,0.2905,
opt-aco,cold,5,0.005789,0.004613,0.203051,1,0.831731,0.820587,0.853000,0.006111,0,6.2822,6.4869,2000,24.86,0.0000,0.2309,
opt-aco,cold,6,0.005952,0.004935,0.170731,1,0.873646,0.857955,0.874481,0.005818,48,6.3912,6.7764,2000,25.24,0.0000,0.2376,
opt-aco,cold,7,0.005712,0.005018,0.121629,1,0.849223,0.865780,0.830188,0.006026,0,6.3223,5.9651,2000,26.48,0.0000,0.2467,
opt-aco,cold,8,0.006069,0.005097,0.160206,1,0.882678,0.891845,0.867871,0.006408,0,5.5279,5.3075,2000,25.28,0.0000,0.2547,
opt-aco,cold,9,0.006701,0.004737,0.292965,1,0.863477,0.880420,0.875211,0.005719,42,5.7400,5.3720,2000,25.37,0.0000,0.2932,
opt-gd,cold,0,0.006022,0.004784,0.205616,1,0.854952,0.884898,0.835445,0.006113,0,6.1809,5.5060,2000,24.58,0.0000,0.2520,
opt-gd,cold,1,0.006062,0.004974,0.179472,1,0.818466,0.838876,0.830070,0.005830,1049,6.8793,6.4811,2000,24.52,0.0000,0.2628,
opt-gd,cold,2,0.006063,0.004989,0.177134,1,0.827170,0.862308,0.798067,0.005970,267,6.5207,5.8202,2000,25.75,0.0000,0.2247,
opt-gd,cold,3,0.005521,0.004899,0.112638,1,0.872826,0.883527,0.874722,0.006025,0,6.1015,5.8391,2000,25.32,0.0000,0.2653,
opt-gd,cold,4,0.005913,0.004713,0.202993,1,0.858403,0.875745,0.824534,0.006128,0,6.5454,6.1315,2000,25.69,0.0000,0.2905,
opt-gd,cold,5,0.005789,0.005104,0.118305,1,0.831731,0.834747,0.853000,0.006111,0,6.2822,6.2256,2000,24.79,0.0000,0.2309,
opt-gd,cold,6,0.005952,0.005530,0.070907,1,0.873646,0.878574,0.874481,0.005818,883,6.3912,6.2653,2000,25.05,0.0000,0.2376,
opt-gd,cold,7,0.005712,0.005193,0.090837,1,0.849223,0.868352,0.830188,0.006026,0,6.3223,5.9076,2000,24.70,0.0000,0.2467,
opt-gd,cold,8,0.006069,0.004614,0.239830,1,0.882678,0.883958,0.867871,0.006408,0,5.5279,5.4976,2000,24.93,0.0000,0.2547,
opt-gd,cold,9,0.006701,0.005629,0.159960,1,0.863477,0.867798,0.875211,0.005719,1779,5.7400,5.6484,2000,25.69,0.0000,0.2932,
