arm,init,seed,budget,cv_mse,r2,r2_0,heuristic_r2,seconds
opt-ga,hot,4,125,0.005519,0.853119,0.824534,0.824534,1.60
opt-ga,hot,4,250,0.005343,0.848923,0.824534,0.824534,3.16
opt-ga,hot,4,500,0.004968,0.873674,0.824534,0.824534,6.25
opt-ga,hot,4,1000,0.004712,0.874048,0.824534,0.824534,12.62
opt-ga,hot,4,2000,0.004254,0.873438,0.824534,0.824534,25.25
opt-ga,hot,5,125,0.005463,0.820560,0.853000,0.853000,1.51
opt-ga,hot,5,250,0.005421,0.844187,0.853000,0.853000,3.05
opt-ga,hot,5,500,0.005029,0.834263,0.853000,0.853000,6.11
opt-ga,hot,5,1000,0.004679,0.864720,0.853000,0.853000,12.45
opt-ga,hot,5,2000,0.004502,0.858058,0.853000,0.853000,24.98
opt-ga,hot,6,125,0.005477,0.892085,0.874481,0.874481,1.64
opt-ga,hot,6,250,0.005401,0.882396,0.874481,0.874481,3.20
opt-ga,hot,6,500,0.005238,0.874146,0.874481,0.874481,6.59
opt-ga,hot,6,1000,0.004938,0.902024,0.874481,0.874481,13.23
opt-ga,hot,6,2000,0.004528,0.902235,0.874481,0.874481,27.73
opt-ga,hot,7,125,0.005484,0.867966,0.830188,0.830188,1.82
opt-ga,hot,7,250,0.005422,0.846808,0.830188,0.830188,3.34
opt-ga,hot,7,500,0.005121,0.881925,0.830188,0.830188,6.47
opt-ga,hot,7,1000,0.004848,0.880345,0.830188,0.830188,12.94
opt-ga,hot,7,2000,0.004626,0.863786,0.830188,0.830188,26.98
opt-ga,hot,8,125,0.005788,0.881629,0.867871,0.867871,1.59
opt-ga,hot,8,250,0.005515,0.883125,0.867871,0.867871,3.08
opt-ga,hot,8,500,0.005252,0.854746,0.867871,0.867871,6.26
opt-ga,hot,8,1000,0.004650,0.844837,0.867871,0.867871,12.74
opt-ga,hot,8,2000,0.004277,0.856742,0.867871,0.867871,25.79
opt-ga,hot,9,125,0.005510,0.857504,0.875211,0.875211,1.63
opt-ga,hot,9,250,0.005474,0.854587,0.875211,0.875211,3.44
opt-ga,hot,9,500,0.005285,0.861048,0.875211,0.875211,6.80
opt-ga,hot,9,1000,0.005106,0.873227,0.875211,0.875211,12.89
opt-ga,hot,9,2000,0.004696,0.884100,0.875211,0.875211,25.91
opt-pso,hot,0,125,0.005542,0.837016,0.835445,0.835445,1.66
opt-pso,hot,0,250,0.005424,0.877717,0.835445,0.835445,3.29
opt-pso,hot,0,500,0.005424,0.877717,0.835445,0.835445,6.44
opt-pso,hot,0,1000,0.005424,0.877717,0.835445,0.835445,13.09
opt-pso,hot,0,2000,0.005278,0.858608,0.835445,0.835445,25.58
opt-pso,hot,1,125,0.005403,0.813928,0.830070,0.830070,1.48
opt-pso,hot,1,250,0.005400,0.855824,0.830070,0.830070,3.18
opt-pso,hot,1,500,0.005311,0.821500,0.830070,0.830070,6.18
opt-pso,hot,1,1000,0.005311,0.821500,0.830070,0.830070,12.74
opt-pso,hot,1,2000,0.005033,0.847332,0.830070,0.830070,25.65
opt-pso,hot,2,125,0.005367,0.845135,0.798067,0.798067,1.65
opt-pso,hot,2,250,0.005367,0.845135,0.798067,0.798067,3.29
opt-pso,hot,2,500,0.005367,0.845135,0.798067,0.798067,6.58
opt-pso,hot,2,1000,0.005367,0.845135,0.798067,0.798067,12.67
opt-pso,hot,2,2000,0.005367,0.845135,0.798067,0.798067,24.79
opt-pso,hot,3,125,0.005495,0.878594,0.874722,0.874722,1.64
opt-pso,hot,3,250,0.005495,0.878594,0.874722,0.874722,3.23
opt-pso,hot,3,500,0.005402,0.889322,0.874722,0.874722,6.47
opt-pso,hot,3,1000,0.005402,0.889322,0.874722,0.874722,13.48
opt-pso,hot,3,2000,0.005160,0.880505,0.874722,0.874722,26.20
opt-pso,hot,4,125,0.005519,0.853119,0.824534,0.824534,1.62
opt-pso,hot,4,250,0.005516,0.861083,0.824534,0.824534,3.22
opt-pso,hot,4,500,0.005516,0.861083,0.824534,0.824534,6.82
opt-pso,hot,4,1000,0.005311,0.855412,0.824534,0.824534,13.21
opt-pso,hot,4,2000,0.005311,0.855412,0.824534,0.824534,26.19
opt-pso,hot,5,125,0.005463,0.820560,0.853000,0.853000,1.63
opt-pso,hot,5,250,0.005418,0.838716,0.853000,0.853000,3.24
opt-pso,hot,5,500,0.005332,0.841537,0.853000,0.853000,6.41
opt-pso,hot,5,1000,0.005332,0.841537,0.853000,0.853000,13.07
opt-pso,hot,5,2000,0.005245,0.812373,0.853000,0.853000,25.57
opt-pso,hot,6,125,0.005451,0.878656,0.874481,0.874481,1.65
opt-pso,hot,6,250,0.005451,0.878656,0.874481,0.874481,3.24
opt-pso,hot,6,500,0.005451,0.878656,0.874481,0.874481,6.55
opt-pso,hot,6,1000,0.005451,0.878656,0.874481,0.874481,12.77
opt-pso,hot,6,2000,0.005451,0.878656,0.874481,0.874481,24.90
opt-pso,hot,7,125,0.005484,0.867966,0.830188,0.830188,1.55
opt-pso,hot,7,250,0.005430,0.864050,0.830188,0.830188,3.20
opt-pso,hot,7,500,0.005430,0.864050,0.830188,0.830188,6.20
opt-pso,hot,7,1000,0.005281,0.875623,0.830188,0.830188,12.39
opt-pso,hot,7,2000,0.005281,0.875623,0.830188,0.830188,24.99
opt-pso,hot,8,125,0.005788,0.881629,0.867871,0.867871,1.54
opt-pso,hot,8,250,0.005767,0.886242,0.867871,0.867871,3.04
opt-pso,hot,8,500,0.005767,0.886242,0.867871,0.867871,6.20
opt-pso,hot,8,1000,0.005696,0.885583,0.867871,0.867871,12.21
opt-pso,hot,8,2000,0.005642,0.885236,0.867871,0.867871,25.26
opt-pso,hot,9,125,0.005589,0.865144,0.875211,0.875211,1.61
opt-pso,hot,9,250,0.005589,0.865144,0.875211,0.875211,3.19
opt-pso,hot,9,500,0.005589,0.865144,0.875211,0.875211,6.32
opt-pso,hot,9,1000,0.005589,0.865144,0.875211,0.875211,12.69
