family,n,seed,flat_k,flat_ari_per_level,flat_pou_max,flat_pou_mean,ms_granularities,ms_ari_per_level,ms_pou_max,ms_pou_mean
many_scale,500,7,2,"[0.2474452349257801, 0.4985408443004494, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,500,8,2,"[0.2474452349257801, 0.4985408443004494, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",1.1102230246251565e-16,9.177843670234627e-18
many_scale,500,9,2,"[0.2474452349257801, 0.4985408443004494, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,1000,0,2,"[0.24868388067184757, 0.4992481203007519, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",1.1102230246251565e-16,9.25185853854297e-18
many_scale,1000,1,2,"[0.24868388067184757, 0.4992481203007519, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,1000,2,2,"[0.24868388067184757, 0.4992481203007519, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,1000,3,2,"[0.24868388067184757, 0.4992481203007519, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",1.1102230246251565e-16,2.7755575615628914e-17
many_scale,1000,4,2,"[0.24868388067184757, 0.4992481203007519, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,1000,5,2,"[0.24868388067184757, 0.4992481203007519, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,1000,6,2,"[0.24868388067184757, 0.4992481203007519, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",1.1102230246251565e-16,1.850371707708594e-17
many_scale,1000,7,2,"[0.24868388067184757, 0.4992481203007519, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,1000,8,2,"[0.24868388067184757, 0.4992481203007519, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",1.1102230246251565e-16,9.25185853854297e-18
many_scale,1000,9,2,"[0.24868388067184757, 0.4992481203007519, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,2000,0,2,"[0.249342846413819, 0.4996245306633292, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,2000,1,2,"[0.249342846413819, 0.4996245306633292, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",1.1102230246251565e-16,9.25185853854297e-18
many_scale,2000,2,2,"[0.249342846413819, 0.4996245306633292, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",1.1102230246251565e-16,9.25185853854297e-18
many_scale,2000,3,2,"[0.249342846413819, 0.4996245306633292, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,2000,4,2,"[0.249342846413819, 0.4996245306633292, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",1.1102230246251565e-16,1.850371707708594e-17
many_scale,2000,5,2,"[0.249342846413819, 0.4996245306633292, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",1.1102230246251565e-16,9.25185853854297e-18
many_scale,2000,6,2,"[0.249342846413819, 0.4996245306633292, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,2000,7,2,"[0.249342846413819, 0.4996245306633292, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,2000,8,2,"[0.249342846413819, 0.4996245306633292, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",1.1102230246251565e-16,1.850371707708594e-17
