arm,init,seed,budget,obj,acc,acc_0,heuristic_acc,seconds
opt-gd,hot,5,1000,0.000809,0.999687,0.999583,0.999583,32.716
opt-gd,hot,5,2000,0.000357,0.999771,0.999583,0.999583,64.460
none,hot,6,125,0.013122,0.999625,0.999625,0.999625,0.032
none,hot,6,250,0.013122,0.999625,0.999625,0.999625,0.032
none,hot,6,500,0.013122,0.999625,0.999625,0.999625,0.032
none,hot,6,1000,0.013122,0.999625,0.999625,0.999625,0.032
none,hot,6,2000,0.013122,0.999625,0.999625,0.999625,0.032
scipy-lbfgsb,hot,6,125,0.012933,0.999625,0.999625,0.999625,4.048
scipy-lbfgsb,hot,6,250,0.000907,0.999792,0.999625,0.999625,7.958
scipy-lbfgsb,hot,6,500,0.000432,0.999812,0.999625,0.999625,15.739
scipy-lbfgsb,hot,6,1000,0.000353,0.999792,0.999625,0.999625,31.220
scipy-lbfgsb,hot,6,2000,0.000340,0.999812,0.999625,0.999625,62.832
scipy-powell,hot,6,125,0.001255,0.999646,0.999625,0.999625,4.051
scipy-powell,hot,6,250,0.001255,0.999646,0.999625,0.999625,7.946
scipy-powell,hot,6,500,0.000977,0.999812,0.999625,0.999625,15.835
scipy-powell,hot,6,1000,0.000412,0.999792,0.999625,0.999625,31.729
scipy-powell,hot,6,2000,0.000379,0.999792,0.999625,0.999625,63.030
scipy-de,hot,6,125,0.013122,0.999625,0.999625,0.999625,2.524
scipy-de,hot,6,250,0.013122,0.999625,0.999625,0.999625,4.989
scipy-de,hot,6,500,0.013122,0.999625,0.999625,0.999625,9.856
scipy-de,hot,6,1000,0.013122,0.999625,0.999625,0.999625,19.248
scipy-de,hot,6,2000,0.013122,0.999625,0.999625,0.999625,37.816
opt-ga,hot,6,125,0.013122,0.999625,0.999625,0.999625,2.279
opt-ga,hot,6,250,0.012705,0.999542,0.999625,0.999625,4.626
opt-ga,hot,6,500,0.005697,0.999812,0.999625,0.999625,9.995
opt-ga,hot,6,1000,0.001352,0.999708,0.999625,0.999625,23.604
opt-ga,hot,6,2000,0.000582,0.999771,0.999625,0.999625,53.331
opt-pso,hot,6,125,0.013122,0.999625,0.999625,0.999625,2.418
opt-pso,hot,6,250,0.013122,0.999625,0.999625,0.999625,4.756
opt-pso,hot,6,500,0.013122,0.999625,0.999625,0.999625,9.586
opt-pso,hot,6,1000,0.013122,0.999625,0.999625,0.999625,18.730
opt-pso,hot,6,2000,0.013122,0.999625,0.999625,0.999625,36.586
opt-aco,hot,6,125,0.013122,0.999625,0.999625,0.999625,2.360
opt-aco,hot,6,250,0.013122,0.999625,0.999625,0.999625,4.690
opt-aco,hot,6,500,0.013122,0.999625,0.999625,0.999625,9.412
opt-aco,hot,6,1000,0.013122,0.999625,0.999625,0.999625,18.826
opt-aco,hot,6,2000,0.010923,0.999687,0.999625,0.999625,37.634
opt-gd,hot,6,125,0.013056,0.999625,0.999625,0.999625,3.883
opt-gd,hot,6,250,0.013056,0.999625,0.999625,0.999625,7.719
opt-gd,hot,6,500,0.001193,0.999687,0.999625,0.999625,15.488
opt-gd,hot,6,1000,0.000705,0.999812,0.999625,0.999625,31.057
opt-gd,hot,6,2000,0.000352,0.999812,0.999625,0.999625,62.473
none,hot,7,125,0.010203,0.999854,0.999854,0.999854,0.033
none,hot,7,250,0.010203,0.999854,0.999854,0.999854,0.033
none,hot,7,500,0.010203,0.999854,0.999854,0.999854,0.033
none,hot,7,1000,0.010203,0.999854,0.999854,0.999854,0.033
none,hot,7,2000,0.010203,0.999854,0.999854,0.999854,0.033
scipy-lbfgsb,hot,7,125,0.010109,0.999854,0.999854,0.999854,4.248
scipy-lbfgsb,hot,7,250,0.002235,0.999854,0.999854,0.999854,8.271
scipy-lbfgsb,hot,7,500,0.001531,0.999812,0.999854,0.999854,16.592
scipy-lbfgsb,hot,7,1000,0.000769,0.999854,0.999854,0.999854,32.270
scipy-lbfgsb,hot,7,2000,0.000695,0.999875,0.999854,0.999854,63.170
scipy-powell,hot,7,125,0.010203,0.999854,0.999854,0.999854,3.766
scipy-powell,hot,7,250,0.001535,0.999812,0.999854,0.999854,7.546
scipy-powell,hot,7,500,0.001288,0.999854,0.999854,0.999854,15.300
scipy-powell,hot,7,1000,0.000844,0.999854,0.999854,0.999854,30.160
scipy-powell,hot,7,2000,0.000657,0.999875,0.999854,0.999854,60.318
scipy-de,hot,7,125,0.010203,0.999854,0.999854,0.999854,2.280
scipy-de,hot,7,250,0.010203,0.999854,0.999854,0.999854,4.547
scipy-de,hot,7,500,0.010203,0.999854,0.999854,0.999854,8.964
scipy-de,hot,7,1000,0.010203,0.999854,0.999854,0.999854,18.007
scipy-de,hot,7,2000,0.010203,0.999854,0.999854,0.999854,36.614
opt-ga,hot,7,125,0.010203,0.999854,0.999854,0.999854,2.418
opt-ga,hot,7,250,0.010135,0.999854,0.999854,0.999854,4.901
opt-ga,hot,7,500,0.005077,0.999812,0.999854,0.999854,10.275
opt-ga,hot,7,1000,0.001408,0.999854,0.999854,0.999854,24.577
opt-ga,hot,7,2000,0.000992,0.999792,0.999854,0.999854,54.340
opt-pso,hot,7,125,0.010203,0.999854,0.999854,0.999854,2.197
opt-pso,hot,7,250,0.010203,0.999854,0.999854,0.999854,4.428
opt-pso,hot,7,500,0.010203,0.999854,0.999854,0.999854,9.077
opt-pso,hot,7,1000,0.010203,0.999854,0.999854,0.999854,18.319
opt-pso,hot,7,2000,0.010203,0.999854,0.999854,0.999854,37.595
opt-aco,hot,7,125,0.010203,0.999854,0.999854,0.999854,2.381
opt-aco,hot,7,250,0.010203,0.999854,0.999854,0.999854,4.791
opt-aco,hot,7,500,0.010203,0.999854,0.999854,0.999854,9.657
opt-aco,hot,7,1000,0.010203,0.999854,0.999854,0.999854,19.417
opt-aco,hot,7,2000,0.010203,0.999854,0.999854,0.999854,38.536
opt-gd,hot,7,125,0.010159,0.999854,0.999854,0.999854,3.918
opt-gd,hot,7,250,0.010159,0.999854,0.999854,0.999854,7.888
opt-gd,hot,7,500,0.001847,0.999771,0.999854,0.999854,15.715
opt-gd,hot,7,1000,0.000835,0.999854,0.999854,0.999854,31.588
opt-gd,hot,7,2000,0.000693,0.999875,0.999854,0.999854,62.913
none,hot,8,125,0.011041,0.999854,0.999854,0.999854,0.032
none,hot,8,250,0.011041,0.999854,0.999854,0.999854,0.032
none,hot,8,500,0.011041,0.999854,0.999854,0.999854,0.032
none,hot,8,1000,0.011041,0.999854,0.999854,0.999854,0.032
none,hot,8,2000,0.011041,0.999854,0.999854,0.999854,0.032
scipy-lbfgsb,hot,8,125,0.010931,0.999854,0.999854,0.999854,4.026
scipy-lbfgsb,hot,8,250,0.001624,0.999854,0.999854,0.999854,7.898
scipy-lbfgsb,hot,8,500,0.001475,0.999812,0.999854,0.999854,15.643
scipy-lbfgsb,hot,8,1000,0.000833,0.999854,0.999854,0.999854,31.289
scipy-lbfgsb,hot,8,2000,0.000796,0.999854,0.999854,0.999854,63.549
scipy-powell,hot,8,125,0.001539,0.999812,0.999854,0.999854,4.060
scipy-powell,hot,8,250,0.001539,0.999812,0.999854,0.999854,8.005
scipy-powell,hot,8,500,0.001284,0.999854,0.999854,0.999854,15.775
scipy-powell,hot,8,1000,0.000861,0.999854,0.999854,0.999854,31.165
scipy-powell,hot,8,2000,0.000778,0.999875,0.999854,0.999854,62.094
scipy-de,hot,8,125,0.011041,0.999854,0.999854,0.999854,2.426
scipy-de,hot,8,250,0.011041,0.999854,0.999854,0.999854,4.713
scipy-de,hot,8,500,0.011041,0.999854,0.999854,0.999854,9.287
scipy-de,hot,8,1000,0.011041,0.999854,0.999854,0.999854,18.965
scipy-de,hot,8,2000,0.011041,0.999854,0.999854,0.999854,37.427
opt-ga,hot,8,125,0.011041,0.999854,0.999854,0.999854,2.276
opt-ga,hot,8,250,0.011041,0.999854,0.999854,0.999854,4.645
opt-ga,hot,8,500,0.004140,0.999625,0.999854,0.999854,10.535
opt-ga,hot,8,1000,0.001245,0.999854,0.999854,0.999854,25.145
opt-ga,hot,8,2000,0.000844,0.999854,0.999854,0.999854,55.577
opt-pso,hot,8,125,0.011041,0.999854,0.999854,0.999854,2.242
opt-pso,hot,8,250,0.011041,0.999854,0.999854,0.999854,4.517
opt-pso,hot,8,500,0.011041,0.999854,0.999854,0.999854,9.268
