arm,init,seed,budget,obj,acc,acc_0,heuristic_acc,seconds
opt-pso,cold,3,2000,0.152559,0.996000,0.427021,0.999708,38.751
opt-aco,cold,3,125,0.254386,0.893583,0.427021,0.999708,2.489
opt-aco,cold,3,250,0.219184,0.976375,0.427021,0.999708,4.923
opt-aco,cold,3,500,0.219184,0.976375,0.427021,0.999708,9.944
opt-aco,cold,3,1000,0.015985,0.998146,0.427021,0.999708,19.801
opt-aco,cold,3,2000,0.013138,0.997938,0.427021,0.999708,40.087
opt-gd,cold,3,125,4.554151,0.427021,0.427021,0.999708,2.626
opt-gd,cold,3,250,2.353533,0.220812,0.427021,0.999708,5.412
opt-gd,cold,3,500,1.894330,0.258083,0.427021,0.999708,10.732
opt-gd,cold,3,1000,1.545124,0.683292,0.427021,0.999708,21.287
opt-gd,cold,3,2000,0.350281,0.934813,0.427021,0.999708,42.031
none,cold,4,125,0.652433,0.427208,0.427208,0.998833,0.018
none,cold,4,250,0.652433,0.427208,0.427208,0.998833,0.018
none,cold,4,500,0.652433,0.427208,0.427208,0.998833,0.018
none,cold,4,1000,0.652433,0.427208,0.427208,0.998833,0.018
none,cold,4,2000,0.652433,0.427208,0.427208,0.998833,0.018
scipy-lbfgsb,cold,4,125,0.501748,0.825021,0.427208,0.998833,2.281
scipy-lbfgsb,cold,4,250,0.387085,0.941312,0.427208,0.998833,4.575
