seed,family,condition,detector,auroc,fpr@95tpr,n_pos,n_neg,feat_ms,fit_ms,score_ms_per_1k,n_mfs
4,TriviaQA,matched,perplexity,0.6821898899758445,0.7790368271954674,353,353,0.0,0.0,0.31827194596411235,
4,TriviaQA,raw,mean entropy,0.6853127484493888,0.8016997167138811,1974,353,0.0,0.0,0.12720240582001596,
4,TriviaQA,matched,mean entropy,0.689661260422602,0.7620396600566572,353,353,0.0,0.0,0.2311614812641977,
4,TriviaQA,raw,n_tokens (control),0.5984598649296375,0.9291784702549575,1974,353,0.0,0.0,0.10627417527595442,
4,TriviaQA,matched,n_tokens (control),0.5,0.9660056657223796,353,353,0.0,0.0,0.20240792736184202,
5,FalsePremise,raw,FIS · centroid (PCA-free),0.8762087138177157,0.6147308781869688,716,353,1151.1484999937238,913.2441999972798,1.118989709034646,29.0
5,FalsePremise,matched,FIS · centroid (PCA-free),0.9169332680943957,0.3496932515337423,163,163,1151.1484999937238,913.2441999972798,2.7714723823277816,29.0
5,FalsePremise,raw,FIS · PCA (64 comp),0.6573662303954928,0.6855524079320113,716,353,92.89020000142045,911.9212999939919,1.0240411574728403,27.0
5,FalsePremise,matched,FIS · PCA (64 comp),0.47924272648575406,0.754601226993865,163,163,92.89020000142045,911.9212999939919,2.3944785034975347,27.0
5,FalsePremise,raw,Mahalanobis · stats,0.8181350594267809,0.6798866855524079,716,353,0.9840999991865829,2.22829999984242,0.4801683761031342,
5,FalsePremise,matched,Mahalanobis · stats,0.7565207572735143,0.7055214723926381,163,163,0.9840999991865829,2.22829999984242,1.142024531449117,
5,FalsePremise,raw,IsolationForest · stats,0.7817826451643535,0.6968838526912181,716,353,0.9840999991865829,104.99849999905564,5.50729654715427,
5,FalsePremise,matched,IsolationForest · stats,0.7075162783695284,0.7239263803680982,163,163,0.9840999991865829,104.99849999905564,10.94693248731547,
5,FalsePremise,raw,OneClassSVM · centroid,0.7985542912307911,0.5552407932011332,716,353,1151.1484999937238,4.158000010647811,4.641347056406335,
5,FalsePremise,matched,OneClassSVM · centroid,0.7937445895592609,0.4785276073619632,163,163,1151.1484999937238,4.158000010647811,5.9690184147022896,
5,FalsePremise,raw,perplexity,0.7252599427097345,0.6118980169971672,716,353,0.0,0.0,0.265014035081869,
5,FalsePremise,matched,perplexity,0.555647559185517,0.7300613496932515,163,163,0.0,0.0,0.45674846241924844,
5,FalsePremise,raw,mean entropy,0.6958037254498551,0.7365439093484419,716,353,0.0,0.0,0.16052386485183065,
5,FalsePremise,matched,mean entropy,0.5339305205314464,0.7791411042944786,163,163,0.0,0.0,0.3966257516066172,
5,FalsePremise,raw,n_tokens (control),0.8416901419595804,0.509915014164306,716,353,0.0,0.0,0.15163704153094562,
5,FalsePremise,matched,n_tokens (control),0.5,1.0,163,163,0.0,0.0,0.36472393602612746,
5,TriviaQA,raw,FIS · centroid (PCA-free),0.49767874722669486,1.0,1974,353,1151.1484999937238,913.2441999972798,0.5997851330684485,29.0
5,TriviaQA,matched,FIS · centroid (PCA-free),0.4913649896877432,1.0,353,353,1151.1484999937238,913.2441999972798,1.2737960251583784,29.0
5,TriviaQA,raw,FIS · PCA (64 comp),0.5402125650453057,1.0,1974,353,92.89020000142045,911.9212999939919,0.5290932546329309,27.0
5,TriviaQA,matched,FIS · PCA (64 comp),0.5323893137734835,1.0,353,353,92.89020000142045,911.9212999939919,1.1640226632678516,27.0
5,TriviaQA,raw,Mahalanobis · stats,0.6469399645820597,0.9121813031161473,1974,353,0.9840999991865829,2.22829999984242,0.2769230781195082,
5,TriviaQA,matched,Mahalanobis · stats,0.6167692542272227,0.9518413597733711,353,353,0.9840999991865829,2.22829999984242,0.6171388099123077,
