features,K,top_n,silhouette,detector,family,mfs,auroc,auprc,fpr@95tpr
layerstat,2,16,0.47601595520973206,FIS T=product/S=product,TriviaQA,43,0.5426830668377289,0.8654028350388625,0.9518413597733711
layerstat,2,16,0.47601595520973206,FIS T=product/S=product,FalsePremise,43,0.49265276085270704,0.7372052141644448,0.9631728045325779
layerstat,2,16,0.47601595520973206,FIS T=hamacher/S=hamacher,TriviaQA,43,0.5482346998229103,0.8672184456474408,0.9575070821529745
layerstat,2,16,0.47601595520973206,FIS T=hamacher/S=hamacher,FalsePremise,43,0.5283009163277257,0.7642490279882028,0.9716713881019831
layerstat,2,16,0.47601595520973206,FIS T=dombi2/S=einstein,TriviaQA,43,0.5544436025269006,0.8687004519804671,1.0
layerstat,2,16,0.47601595520973206,FIS T=dombi2/S=einstein,FalsePremise,43,0.5664357383639039,0.7824649805224289,1.0
layerstat,2,32,0.18957649171352386,Mahalanobis,TriviaQA,87,0.5552522738949115,0.8662355563841839,0.9235127478753541
layerstat,2,32,0.18957649171352386,Mahalanobis,FalsePremise,87,0.5356244164147689,0.7352237506272685,0.9801699716713881
layerstat,2,32,0.18957649171352386,FIS T=product/S=product,TriviaQA,87,0.530506355999093,0.8618831435008987,0.9263456090651558
layerstat,2,32,0.18957649171352386,FIS T=product/S=product,FalsePremise,87,0.5044728346020542,0.7346274661276324,0.9603399433427762
layerstat,2,32,0.18957649171352386,FIS T=hamacher/S=hamacher,TriviaQA,87,0.538451713637055,0.8643457757394835,0.9376770538243626
layerstat,2,32,0.18957649171352386,FIS T=hamacher/S=hamacher,FalsePremise,87,0.49970721825691994,0.7152653556208486,0.9745042492917847
layerstat,2,32,0.18957649171352386,FIS T=dombi2/S=einstein,TriviaQA,87,0.5400776668934104,0.8646281141882473,0.9405099150141643
layerstat,2,32,0.18957649171352386,FIS T=dombi2/S=einstein,FalsePremise,87,0.47832030322692964,0.7039469453997418,0.9688385269121813
layerstat,4,8,0.27090200781822205,Mahalanobis,TriviaQA,43,0.5053743997749784,0.8513090338943222,0.943342776203966
layerstat,4,8,0.27090200781822205,Mahalanobis,FalsePremise,43,0.45096697105417255,0.7085752560099299,0.9745042492917847
layerstat,4,8,0.27090200781822205,FIS T=product/S=product,TriviaQA,43,0.5301339509946585,0.8640081951754017,0.9518413597733711
layerstat,4,8,0.27090200781822205,FIS T=product/S=product,FalsePremise,43,0.44058508870495505,0.6472336779946624,0.9518413597733711
layerstat,4,8,0.27090200781822205,FIS T=hamacher/S=hamacher,TriviaQA,43,0.5298828108182577,0.8626790760748665,0.9801699716713881
layerstat,4,8,0.27090200781822205,FIS T=hamacher/S=hamacher,FalsePremise,43,0.4452893791444442,0.6628669572191619,0.9801699716713881
layerstat,4,8,0.27090200781822205,FIS T=dombi2/S=einstein,TriviaQA,43,0.5259061855107905,0.8607485502548727,1.0
layerstat,4,8,0.27090200781822205,FIS T=dombi2/S=einstein,FalsePremise,43,0.47543007264152437,0.6783664552450428,1.0
layerstat,4,16,0.25108927488327026,Mahalanobis,TriviaQA,94,0.5409258031462841,0.8617898151726088,0.9518413597733711
layerstat,4,16,0.25108927488327026,Mahalanobis,FalsePremise,94,0.4823183566239891,0.7132683907256959,0.9716713881019831
