seed,condition,metric,mf,tnorm,sconorm,de_morgan,auroc,fpr95,n_params,n_mfs,train_ms,samples_per_sec
1,length+template,bhattacharyya,trapezoid,probability,einstein,False,0.8480129578614428,0.6111111111111112,53,26,13794.917299994268,450051.1390492299
1,length+template,bhattacharyya,trapezoid,min/max,hamacher,False,0.8485613712886441,0.5808080808080808,53,26,13794.917299994268,468251.1567233712
1,length+template,wasserstein,gaussian,min/max,min/max,True,0.8904831139679624,0.5404040404040404,75,37,965.9946000028867,781990.5217564495
1,length+template,wasserstein,gaussian,probability,probability,True,0.8797189062340577,0.51010101010101,75,37,965.9946000028867,730492.5356930217
1,length+template,wasserstein,gaussian,luk,luk,True,,,75,37,965.9946000028867,649926.1474764608
1,length+template,wasserstein,gaussian,hamacher,hamacher,True,0.8863636363636362,0.5,75,37,965.9946000028867,432267.22411557205
1,length+template,wasserstein,gaussian,einstein,einstein,True,0.8754718906234058,0.5606060606060606,75,37,965.9946000028867,612813.3686354118
1,length+template,wasserstein,gaussian,hamacher,einstein,False,0.8862616059585756,0.5656565656565656,75,37,965.9946000028867,609137.0671010738
1,length+template,wasserstein,gaussian,probability,einstein,False,0.8792597694112844,0.5202020202020202,75,37,965.9946000028867,707521.8891005738
1,length+template,wasserstein,gaussian,min/max,hamacher,False,0.8918477706356494,0.51010101010101,75,37,965.9946000028867,551071.5277756492
1,length+template,wasserstein,trapezoid,min/max,min/max,True,0.8223778185899399,0.6161616161616161,53,26,11702.396500011673,588672.5137544695
1,length+template,wasserstein,trapezoid,probability,probability,True,0.8305912661973269,0.6212121212121212,53,26,11702.396500011673,580730.3146710515
1,length+template,wasserstein,trapezoid,luk,luk,True,,,53,26,11702.396500011673,563540.6325313151
1,length+template,wasserstein,trapezoid,hamacher,hamacher,True,0.8292648709315376,0.601010101010101,53,26,11702.396500011673,435595.6391676343
1,length+template,wasserstein,trapezoid,einstein,einstein,True,0.829188348127742,0.6313131313131313,53,26,11702.396500011673,491925.4638152891
1,length+template,wasserstein,trapezoid,hamacher,einstein,False,0.8300556065707582,0.5959595959595959,53,26,11702.396500011673,459130.44008730946
1,length+template,wasserstein,trapezoid,probability,einstein,False,0.8308208346087134,0.6161616161616161,53,26,11702.396500011673,415660.75038661784
1,length+template,wasserstein,trapezoid,min/max,hamacher,False,0.8266375880012244,0.6161616161616161,53,26,11702.396500011673,430154.2491554088
1,length+template,-,Mahalanobis,-,-,True,0.8519028670543822,0.6414141414141414,209,0,0.9647999977460131,
1,length+template+entropy,bhattacharyya,gaussian,min/max,min/max,True,0.8525076109597821,1.0,77,38,1059.9236999987625,540170.938700418
1,length+template+entropy,bhattacharyya,gaussian,probability,probability,True,0.8321783368049993,0.7278481012658228,77,38,1059.9236999987625,558797.5256694241
1,length+template+entropy,bhattacharyya,gaussian,luk,luk,True,,,77,38,1059.9236999987625,396586.3385967629
1,length+template+entropy,bhattacharyya,gaussian,hamacher,hamacher,True,0.8449166800192277,0.759493670886076,77,38,1059.9236999987625,347100.17918925534
1,length+template+entropy,bhattacharyya,gaussian,einstein,einstein,True,0.8268706937990706,0.6962025316455697,77,38,1059.9236999987625,500792.390952906
1,length+template+entropy,bhattacharyya,gaussian,hamacher,einstein,False,0.8470197083800672,0.759493670886076,77,38,1059.9236999987625,465870.55944972264
1,length+template+entropy,bhattacharyya,gaussian,probability,einstein,False,0.8323185386957217,0.7151898734177216,77,38,1059.9236999987625,563882.951926589
1,length+template+entropy,bhattacharyya,gaussian,min/max,hamacher,False,0.8600985419003364,0.7025316455696202,77,38,1059.9236999987625,444069.6988591184
1,length+template+entropy,bhattacharyya,trapezoid,min/max,min/max,True,0.8324787694279763,1.0,53,26,13794.917299994268,420380.4681855779
1,length+template+entropy,bhattacharyya,trapezoid,probability,probability,True,0.8200208299951931,0.5759493670886076,53,26,13794.917299994268,466696.2013715121
1,length+template+entropy,bhattacharyya,trapezoid,luk,luk,True,,,53,26,13794.917299994268,437855.0587841515
1,length+template+entropy,bhattacharyya,trapezoid,hamacher,hamacher,True,0.8305560006409229,0.5506329113924051,53,26,13794.917299994268,355455.57281521487
1,length+template+entropy,bhattacharyya,trapezoid,einstein,einstein,True,0.8146130427816055,0.5886075949367089,53,26,13794.917299994268,403009.81799724296
1,length+template+entropy,bhattacharyya,trapezoid,hamacher,einstein,False,0.8311969235699407,0.5506329113924051,53,26,13794.917299994268,372905.3549137399
1,length+template+entropy,bhattacharyya,trapezoid,probability,einstein,False,0.8203012337766383,0.5759493670886076,53,26,13794.917299994268,423082.0740018568
