family,feature,auroc,auroc_entmatch,rho_entropy,entmatch_std
delta,D20_norm,0.5158326611639661,0.7316961664001951,0.04198787718381851,0.08737729590144637
delta,D21_cos,0.695992506491232,0.618460717475295,0.34403332911157625,0.06339532036530929
delta,D21_norm,0.6648302597685994,0.665317090550108,0.26695267432151865,0.07889531864477983
delta,D22_cos,0.7612401644369551,0.6299791670932209,0.45038473694339276,0.049366634034621694
delta,D22_norm,0.7664367512372828,0.6252132031023339,0.5275478790069793,0.06671456732376856
delta,D23_cos,0.5691878787103565,0.5460599434401908,0.10348907775024258,0.022992115694090938
delta,D23_norm,0.6514442707897843,0.5929324718923421,0.21607205291578613,0.031255737122222335
delta,D24_cos,0.5236171298254642,0.5479989108127298,0.0311665396889396,0.02855830996671584
delta,D24_norm,0.5505784812204487,0.6444352519114155,0.07320833268796395,0.1200865386181098
delta,D25_cos,0.5377087418206179,0.5381147310415059,0.03588908352097549,0.03924696499411102
delta,D25_norm,0.581882559047821,0.6366882312444644,0.09842712906169532,0.08607673941984643
delta,D26_cos,0.7006582353065898,0.5449325831968708,0.29503870339305244,0.03963666968196252
delta,D26_norm,0.609991331264515,0.6330108908629005,0.13647556274351538,0.08689745474127059
delta,D27_cos,0.8574768086898992,0.774177754696263,0.5501359230744118,0.1479513518376267
delta,D27_norm,0.7720057816530512,0.731758001524081,0.4295558439602845,0.10679096466501661
delta,D28_cos,0.7488307689845222,0.8035138843796017,0.3201365728836946,0.11220382930720292
delta,D28_norm,0.5613651330547157,0.6032871909931161,0.019701060111844335,0.08627665794579976
delta,D29_cos,0.7819386129000149,0.7593851657730037,0.4699333185742539,0.07580278682750492
delta,D29_norm,0.7534382884793005,0.6622280685101515,0.4177057610058337,0.07501715626869061
delta,D30_cos,0.7490586620360936,0.6438949999886252,0.36900256288673605,0.05198460301991076
delta,D30_norm,0.6837859207487574,0.602288196720851,0.27809580382557764,0.055086601577637215
delta,D31_cos,0.9229623335673999,0.9340557301351913,0.6522010932963386,0.05481944011874858
delta,D31_norm,0.692689382741916,0.7604899483868266,0.3077257202911231,0.08357886009509258
deltaref,R00_dist,0.5593374000875895,0.5586670123148458,0.1552055189820402,0.03583316796497103
deltaref,R01_cos,0.8227868504376085,0.8630426768978853,0.43958419316830977,0.021286165806332934
deltaref,R01_dist,0.8065270361109802,0.8063574593023194,0.4495586250803789,0.04019802536285
deltaref,R02_cos,0.6278622682491408,0.6696896750926847,0.10825420958749861,0.047409310692200494
deltaref,R02_dist,0.63348264086274,0.7069065661419458,0.11438070374949347,0.05361350527844222
deltaref,R03_cos,0.6234286205056332,0.5960456203597577,0.17819164285742156,0.08785832965518861
deltaref,R03_dist,0.6346226453495428,0.621853680415199,0.19445417261637943,0.07262436754831164
deltaref,R04_cos,0.6835671138278661,0.662922590866025,0.2777636718688914,0.136561634587132
deltaref,R04_dist,0.6796887669398155,0.6677493772773061,0.25877823365812663,0.1232247904471497
deltaref,R05_cos,0.6044381640470006,0.6776095198492438,0.0929747246917146,0.09323878870334097
deltaref,R05_dist,0.600226890843931,0.7452571671434556,0.03969070248009327,0.04672582488858673
deltaref,R06_cos,0.6159096307440957,0.7406135502118238,0.08793429226675106,0.06913876669330411
deltaref,R06_dist,0.5764855423688745,0.7451213502572395,0.046459438493313084,0.04380303656723238
deltaref,R07_cos,0.5519059720411422,0.6083812651119155,0.04193301970361681,0.09205044298101979
deltaref,R07_dist,0.5263708492549086,0.5898479206916551,0.029510730513459045,0.0705950807929507
deltaref,R08_cos,0.53772104183456,0.6166006067701475,0.024775595256504204,0.0935480359599307
deltaref,R08_dist,0.519610992712221,0.59207655173103,0.015287791714256191,0.07809414989880589
deltaref,R09_cos,0.5418397418982261,0.6012299324533155,0.014751573622936116,0.08532998594693551
deltaref,R09_dist,0.5458452028996443,0.6128988019096722,0.012879521003500795,0.09751741813465246
deltaref,R10_cos,0.5919953082215208,0.6183457328284603,0.11479818361508733,0.10452952424204592
deltaref,R10_dist,0.5622899780940319,0.6115435238952293,0.04824018863458433,0.10745663459897102
deltaref,R11_cos,0.5765292803799003,0.6014236649526965,0.13091519521203437,0.04928459790840635
deltaref,R11_dist,0.5625931677125916,0.5969895245776696,0.09768229358807003,0.07050788258295491
deltaref,R12_cos,0.617285787643947,0.5281435421946943,0.29101481719871863,0.017579759684148048
deltaref,R12_dist,0.5868999963509746,0.5438954529485538,0.22945362563409272,0.029990385029744368
deltaref,R13_cos,0.5809956062937109,0.5436738529673385,0.23222326170905996,0.031006707167015726
deltaref,R13_dist,0.5881521502452765,0.5461040867211254,0.21291020779777414,0.01621681816174239
deltaref,R14_cos,0.6083373097742171,0.5891837453452201,0.2950793425547408,0.08638777186933891
deltaref,R14_dist,0.5869817249519189,0.5905653463961289,0.2511835979936068,0.07043082007314924
deltaref,R15_cos,0.5910319685225547,0.6232595239627351,0.30148809139149507,0.03270386813035271
