model,seed,condition,family,budget,selected,val_auroc,test_auroc,test_fpr95,fixed_auroc
gemma,2,length+template,OneClassSVM,100,nu0.1_g1.0_rbf_k8,0.6523515819844491,0.6324684518313327,0.9456140350877194,0.5502770083102493
gemma,2,length+template,single statistic,38,ent_max_+,0.7823671084160595,0.7819852262234533,0.7035087719298245,0.5492028316405048
gemma,2,length+template+entropy,FIS,120,w1_t19_k4_einstein,0.6748343439777007,0.6678692645736503,0.8594306049822064,0.6025933688783071
gemma,2,length+template+entropy,Mahalanobis,120,empirical_s0.05_k6,0.6887072717492297,0.6767834753865831,0.8594306049822064,0.6174218918200125
gemma,2,length+template+entropy,IsolationForest,96,n200_mf0.7_cauto_k8,0.660784145924006,0.6393346082243132,0.8238434163701067,0.5753631539620825
gemma,2,length+template+entropy,OneClassSVM,100,nu0.1_g1.0_rbf_k8,0.6523515819844491,0.645777662390294,0.9323843416370107,0.5882334316941276
gemma,2,length+template+entropy,single statistic,38,ent_max_+,0.7823671084160595,0.7602392320259368,0.7597864768683275,0.5141177290054584
gemma,3,length+template,FIS,120,w1_t6_k3_einstein,0.6362627756858525,0.6676426720133013,1.0,0.5923211403980635
gemma,3,length+template,Mahalanobis,120,oas_sNone_k6,0.683514475035454,0.6850151596655093,0.8706293706293706,0.6297435082400118
gemma,3,length+template,IsolationForest,96,n100_mf1.0_cauto_k8,0.6398081813291603,0.6520123233409947,0.8671328671328671,0.6044488728055162
gemma,3,length+template,OneClassSVM,100,nu0.5_gscale_rbf_k8,0.6363055650643064,0.6448603843708739,0.8846153846153846,0.5715377280062595
gemma,3,length+template,single statistic,38,ent_max_+,0.7820920338402856,0.7809061567802826,0.6765734265734266,0.5604461098342217
gemma,3,length+template+entropy,FIS,120,w1_t6_k3_einstein,0.6362627756858525,0.6342796929668202,1.0,0.5457868119595292
gemma,3,length+template+entropy,Mahalanobis,120,oas_sNone_k6,0.683514475035454,0.6643236404821924,0.8898756660746003,0.628992109638482
gemma,3,length+template+entropy,IsolationForest,96,n100_mf1.0_cauto_k8,0.6398081813291603,0.6313298776851994,0.8898756660746003,0.596421101117144
gemma,3,length+template+entropy,OneClassSVM,100,nu0.5_gscale_rbf_k8,0.6363055650643064,0.6490508535535022,0.8579040852575488,0.59190646403907
gemma,3,length+template+entropy,single statistic,38,ent_max_+,0.7820920338402856,0.7504519369402056,0.7584369449378331,0.5161072533907101
lfm,0,length+template,FIS,120,w1_t12_k3_hamacher,0.7405842021226636,0.7616951119698372,0.7234432234432234,0.5878818983214589
lfm,0,length+template,Mahalanobis,120,empirical_s0.6_k6,0.7734405399240565,0.8011478753236996,0.6391941391941391,0.7317520696641576
lfm,0,length+template,IsolationForest,96,n50_mf0.7_cauto_k8,0.7741986340887439,0.7980953722711965,0.5970695970695971,0.7342343248936656
lfm,0,length+template,OneClassSVM,100,nu0.5_g0.01_rbf_k8,0.7525258624159724,0.7760401991171222,0.7106227106227107,0.6269908357820446
lfm,0,length+template,single statistic,38,ent_max_+,0.8728984690523152,0.8846288022112198,0.44505494505494503,0.8130794724201318
lfm,0,length+template+entropy,FIS,120,w1_t12_k3_hamacher,0.7405842021226636,0.7060207790798612,0.8541666666666666,0.5753851996527778
lfm,0,length+template+entropy,Mahalanobis,120,empirical_s0.6_k6,0.7734405399240565,0.7165120442708334,0.8255208333333334,0.6830105251736112
lfm,0,length+template+entropy,IsolationForest,96,n50_mf0.7_cauto_k8,0.7741986340887439,0.702880859375,0.8203125,0.630710177951389
lfm,0,length+template+entropy,OneClassSVM,100,nu0.5_g0.01_rbf_k8,0.7525258624159724,0.6634318033854167,0.9010416666666666,0.5786810980902777
lfm,0,length+template+entropy,single statistic,38,ent_max_+,0.8728984690523152,0.797207302517361,0.6145833333333334,0.5625169542100694
lfm,1,length+template,FIS,120,w1_t6_k2_einstein,0.7473298883082016,0.7331224178602613,0.7563176895306859,0.6123564753874023
lfm,1,length+template,Mahalanobis,120,empirical_s0.6_k6,0.8047511371189511,0.7835140559631952,0.6534296028880866,0.6984354025205592
lfm,1,length+template,IsolationForest,96,n50_mf0.5_cauto_k8,0.7925588760442597,0.7766880840360229,0.6028880866425993,0.690478828083254
lfm,1,length+template,OneClassSVM,100,nu0.5_g1.0_rbf_k8,0.778291128517249,0.762625604399901,0.644404332129964,0.5553050346023016
lfm,1,length+template,single statistic,38,ent_max_+,0.8900415748934563,0.8749169153774973,0.4332129963898917,0.8196900780669629
lfm,1,length+template+entropy,FIS,120,w1_t6_k2_einstein,0.7473298883082016,0.6017755818097092,0.9214659685863874,0.6172493900934735
lfm,1,length+template+entropy,Mahalanobis,120,empirical_s0.6_k6,0.8047511371189511,0.7149338011567665,0.806282722513089,0.6592746909350073
lfm,1,length+template+entropy,IsolationForest,96,n50_mf0.5_cauto_k8,0.7925588760442597,0.7200871686631396,0.680628272251309,0.5918765932951399
lfm,1,length+template+entropy,OneClassSVM,100,nu0.5_g1.0_rbf_k8,0.778291128517249,0.743791288615992,0.7513089005235603,0.5626490501905101
lfm,1,length+template+entropy,single statistic,38,ent_max_+,0.8900415748934563,0.8053370247526109,0.6335078534031413,0.5757174967791454
