seed,condition,detector,auroc,fpr95,n_neg,n_pos,train_ms,n_params,samples_per_sec,structure
6,length+template+entropy,OneClassSVM · deltaref,0.5887111111111111,0.78,150,150,1.8643000075826421,352,336247.47893287323,39SV
6,length+template+entropy,Mahalanobis · stats,0.7821333333333332,0.6733333333333333,150,150,0.7766000053379685,209,751503.0091078877,19f
6,length+template+entropy,mean entropy,0.634,0.78,150,150,0.0,0,1960784.3026493997,threshold
6,length+template+entropy,perplexity,0.6168888888888888,0.7733333333333333,150,150,0.0,0,1417099.6912615576,threshold
6,length+template+entropy,n_tokens (control),0.5,0.9466666666666667,150,150,0.0,0,2485501.1954150978,threshold
7,raw,FIS · centroid,0.5748277079600883,1.0,188,1627,799.6964000049047,53,1013456.92016649,2R/26MF
7,raw,FIS · delta,0.4925950385123383,1.0,188,1627,767.8308000031393,43,1173238.5207785405,2R/21MF
7,raw,FIS · deltaref,0.5848497430331245,1.0,188,1627,783.8658999971813,65,976436.40567132,2R/32MF
7,raw,FIS · geom,0.6521155631693889,1.0,188,1627,758.5866999870632,39,1051077.1406892114,2R/19MF
7,raw,FIS · curve,0.5620398462121905,1.0,188,1627,751.8972000107169,53,994738.5669076816,2R/26MF
7,raw,FIS · agg,0.5534138016712654,1.0,188,1627,759.5957000012277,45,1100733.824393975,2R/22MF
7,raw,OneClassSVM · deltaref,0.6400273313368816,0.824468085106383,188,1627,2.093800008879043,343,322305.68375341577,38SV
7,raw,Mahalanobis · stats,0.8296335770050608,0.6223404255319149,188,1627,1.0425000073155388,209,1923076.8976791145,19f
7,raw,mean entropy,0.8821221671527024,0.5372340425531915,188,1627,0.0,0,3908268.733384566,threshold
7,raw,perplexity,0.8567491401744498,0.5585106382978723,188,1627,0.0,0,4577553.514285265,threshold
7,raw,n_tokens (control),0.4670961435352889,0.9627659574468085,188,1627,0.0,0,4686289.757748744,threshold
7,length,FIS · centroid,0.5976991559717887,1.0,186,186,799.6964000049047,53,248580.01989068376,2R/26MF
7,length,FIS · delta,0.48395768296912944,1.0,186,186,767.8308000031393,43,233272.71491534347,2R/21MF
7,length,FIS · deltaref,0.5849375650364204,1.0,186,186,783.8658999971813,65,156217.1922435658,2R/32MF
7,length,FIS · geom,0.6336715227193895,1.0,186,186,758.5866999870632,39,325744.3100264404,2R/19MF
7,length,FIS · curve,0.5628974447913053,0.9193548387096774,186,186,751.8972000107169,53,313263.16029015015,2R/26MF
7,length,FIS · agg,0.5718146606544109,1.0,186,186,759.5957000012277,45,328912.46764086356,2R/22MF
7,length,OneClassSVM · deltaref,0.6303040813966932,0.8440860215053764,186,186,2.093800008879043,343,223008.2112702537,38SV
7,length,Mahalanobis · stats,0.83125216788068,0.5806451612903226,186,186,1.0425000073155388,209,456161.85801192396,19f
7,length,mean entropy,0.8778182448838016,0.5161290322580645,186,186,0.0,0,922161.6233600011,threshold
7,length,perplexity,0.848306162562146,0.5591397849462365,186,186,0.0,0,1422018.357652369,threshold
7,length,n_tokens (control),0.5,0.946236559139785,186,186,0.0,0,1512810.1148886452,threshold
7,length+template,FIS · centroid,0.648592349450827,1.0,178,178,799.6964000049047,53,162996.19995875948,2R/26MF
7,length+template,FIS · delta,0.4531309178134074,1.0,178,178,767.8308000031393,43,196576.47766717323,2R/21MF
7,length+template,FIS · deltaref,0.6074043681353365,1.0,178,178,783.8658999971813,65,174279.14051314967,2R/32MF
7,length+template,FIS · geom,0.5743592980684258,1.0,178,178,758.5866999870632,39,174595.3899776328,2R/19MF
