model,template,seed,n,entropy,fis,fusion
qwen,law,1,70,0.9404081632653061,0.4983673469387755,0.8089795918367346
qwen,paradox,1,56,0.7079081632653061,0.5975765306122449,0.7142857142857143
qwen,reaction,1,66,0.610651974288338,0.5523415977961432,0.6271808999081726
qwen,researcher,1,188,0.7845178813942961,0.7196129470348573,0.7901199637845179
qwen,theorem,1,78,0.8882314266929651,0.43951347797501644,0.7593688362919131
qwen,algorithm,2,146,0.8476261962844811,0.40401576280728096,0.6758303621692625
qwen,conjecture,2,68,0.8278546712802768,0.4926470588235294,0.77378892733564
qwen,constant,2,46,0.8241965973534972,0.5586011342155008,0.7637051039697541
qwen,effect,2,90,0.8493827160493826,0.8241975308641976,0.8703703703703703
qwen,element,2,124,0.6641519250780438,0.666493236212279,0.730228928199792
qwen,experiment,2,56,0.7168367346938775,0.721938775510204,0.7474489795918368
qwen,law,2,74,0.9043097151205259,0.5788897005113222,0.7914536157779402
qwen,paradox,2,72,0.5802469135802469,0.5540123456790123,0.5694444444444444
qwen,reaction,2,46,0.6956521739130435,0.8034026465028354,0.7939508506616257
qwen,researcher,2,190,0.7758448753462603,0.7826038781163435,0.8313019390581717
qwen,theorem,2,62,0.894901144640999,0.42872008324661814,0.7658688865764829
qwen,algorithm,3,152,0.8505886426592798,0.5118594182825484,0.7474896121883656
qwen,conjecture,3,68,0.7880622837370242,0.4697231833910035,0.7530276816608996
qwen,constant,3,48,0.8420138888888888,0.5442708333333333,0.7621527777777778
qwen,effect,3,74,0.7450693937180424,0.6939371804236669,0.7476260043827612
qwen,element,3,154,0.6906729634002361,0.6315567549333783,0.718417945690673
qwen,experiment,3,50,0.5296000000000001,0.5439999999999999,0.5456
qwen,law,3,56,0.9604591836734694,0.6696428571428572,0.8928571428571428
qwen,paradox,3,56,0.6466836734693877,0.659438775510204,0.6575255102040817
qwen,reaction,3,62,0.6097814776274714,0.7252861602497397,0.7414151925078043
qwen,researcher,3,196,0.8026863806747188,0.7533319450229071,0.8322573927530195
qwen,theorem,3,64,0.873046875,0.46484375,0.8037109375
qwen,algorithm,4,152,0.8199445983379502,0.4756752077562327,0.712084487534626
qwen,conjecture,4,60,0.8133333333333334,0.46277777777777773,0.7022222222222222
qwen,constant,4,54,0.8806584362139918,0.5027434842249656,0.7661179698216736
qwen,effect,4,68,0.842560553633218,0.4299307958477509,0.6660899653979238
qwen,element,4,146,0.6350159504597486,0.5843497841996622,0.6521861512478889
qwen,experiment,4,36,0.6759259259259258,0.4598765432098766,0.5817901234567902
qwen,law,4,66,0.9320477502295683,0.5275482093663911,0.8232323232323232
qwen,paradox,4,62,0.6586888657648283,0.4053069719042664,0.5171696149843912
qwen,reaction,4,62,0.4588969823100937,0.6269510926118627,0.5764828303850156
qwen,researcher,4,198,0.8138965411692684,0.6253953678196101,0.7921130496888072
qwen,theorem,4,74,0.8991964937910883,0.547845142439737,0.8254200146092038
qwen,algorithm,5,156,0.8233070348454964,0.532051282051282,0.7268244575936884
