pooling,l2,k,layer,val_tq,val_fp
mean,True,8,0,0.5096611057382334,0.5397409408773045
mean,True,8,2,0.41063369254858617,0.2601756198347107
mean,True,8,4,0.4663063000828958,0.23502860775588047
mean,True,8,6,0.4448382955696786,0.1962889383343929
mean,True,8,8,0.42957164732430686,0.27491656071201526
mean,True,8,10,0.47142972275951,0.22838127781309597
mean,True,8,12,0.4509720111448835,0.2694214876033058
mean,True,8,14,0.48089654140186056,0.3528766687857597
mean,True,8,16,0.47664381274753614,0.3171447870311507
mean,True,8,18,0.4743181242516349,0.26608391608391607
mean,True,8,20,0.4795811458045501,0.3181778448823903
mean,True,8,22,0.4783895182831353,0.3182573108709472
mean,True,8,24,0.47594725752970435,0.2092061347743166
mean,True,8,26,0.47055615040987386,0.14017800381436743
mean,True,8,28,0.5206994911117252,0.14053162746344564
mean,True,8,30,0.4922803260569218,0.13991973935155752
mean,True,8,32,0.3715690338030764,0.1140853464717101
mean,True,16,0,0.48055114212029104,0.4806738715829625
mean,True,16,2,0.4023728930643824,0.1675778766687858
mean,True,16,4,0.437583471493046,0.27807136045772407
mean,True,16,6,0.4431904531638574,0.23052685950413224
mean,True,16,8,0.4144978470111449,0.26830499046408135
mean,True,16,10,0.4473985677443124,0.2115623013350286
mean,True,16,12,0.4344144330846459,0.30916242848061026
mean,True,16,14,0.4730646126922723,0.3623609345200255
mean,True,16,16,0.44988832089895914,0.27031945327399876
mean,True,16,18,0.4595724532559639,0.2665289256198347
mean,True,16,20,0.47829165515335725,0.3848498092816275
mean,True,16,22,0.4433113429124068,0.2126549586776859
mean,True,16,24,0.4178194367689049,0.15497854418308965
mean,True,16,26,0.42895280694482824,0.2567824221233312
mean,True,16,28,0.4471136133370176,0.1527733630006357
mean,True,16,30,0.4516584922170029,0.12469802924348379
mean,True,16,32,0.34555471124620063,0.11341783216783216
mean,True,32,0,0.4660573247674311,0.3612682771773681
mean,True,32,2,0.3833831283964263,0.14910600762873488
mean,True,32,4,0.4209222736483375,0.2294858550540369
mean,True,32,6,0.4195219673943078,0.2344961856325493
mean,True,32,8,0.39008243529520126,0.2365424348378894
mean,True,32,10,0.4329810260661325,0.18535441830896376
mean,True,32,12,0.41964285714285715,0.21927050222504768
mean,True,32,14,0.4429904094132818,0.30816115702479335
mean,True,32,16,0.43480876393110435,0.3255721551176097
mean,True,32,18,0.46030067007460623,0.262678798474253
mean,True,32,20,0.45770297964446904,0.4096948506039415
mean,True,32,22,0.44185490927512205,0.3312778130959949
mean,True,32,24,0.4088232246476928,0.15096153846153848
mean,True,32,26,0.42797273648337475,0.15956373172282262
mean,True,32,28,0.4056700170396979,0.12516290527654161
mean,True,32,30,0.4202717716680483,0.11562301335028607
mean,True,32,32,0.31521858017868654,0.08379688493324858
mean,True,64,0,0.4623385258358662,0.33790527654164015
mean,True,64,2,0.38616791010408036,0.17593372536554358
mean,True,64,4,0.41939388182739246,0.24492212333121424
mean,True,64,6,0.4141740351846735,0.2455061983471074
mean,True,64,8,0.39283123791102514,0.3184122695486332
mean,True,64,10,0.4178496592060422,0.17420931341385887
mean,True,64,12,0.41506343833471493,0.228842180546726
mean,True,64,14,0.44068199088145893,0.39002701843610926
mean,True,64,16,0.45089717463387674,0.4204942784488239
mean,True,64,18,0.4603611149488809,0.32981563890654797
mean,True,64,20,0.49195651423045045,0.6036594087730451
mean,True,64,22,0.4573043313069909,0.3457684361093452
mean,True,64,24,0.4110323408860643,0.2185553083280356
mean,True,64,26,0.40537642765036386,0.2530356007628735
mean,True,64,28,0.3720266878511559,0.1519270502225048
mean,True,64,30,0.38174392097264437,0.13201684678957407
mean,True,64,32,0.29646915584415584,0.10021853146853146
