arm,init,seed,budget,cv_mse,r2,r2_0,heuristic_r2,seconds
opt-ga,cold,6,125,0.005668,0.875081,0.890228,0.862466,1.92
opt-ga,cold,6,250,0.005484,0.881197,0.890228,0.862466,3.94
opt-ga,cold,6,500,0.005009,0.870801,0.890228,0.862466,7.82
opt-ga,cold,6,1000,0.005009,0.870801,0.890228,0.862466,15.45
opt-ga,cold,6,2000,0.004635,0.887534,0.890228,0.862466,31.26
opt-ga,cold,7,125,0.005357,0.846885,0.846885,0.870453,1.93
opt-ga,cold,7,250,0.005241,0.892653,0.846885,0.870453,3.82
opt-ga,cold,7,500,0.005028,0.847322,0.846885,0.870453,7.58
opt-ga,cold,7,1000,0.004727,0.855674,0.846885,0.870453,15.22
opt-ga,cold,7,2000,0.004366,0.845814,0.846885,0.870453,30.32
opt-ga,cold,8,125,0.005773,0.884506,0.871015,0.872438,2.04
opt-ga,cold,8,250,0.005456,0.882300,0.871015,0.872438,3.95
opt-ga,cold,8,500,0.005358,0.888813,0.871015,0.872438,7.66
opt-ga,cold,8,1000,0.005113,0.894885,0.871015,0.872438,15.30
opt-ga,cold,8,2000,0.004704,0.897744,0.871015,0.872438,31.01
opt-ga,cold,9,125,0.005457,0.865664,0.859335,0.849755,2.08
opt-ga,cold,9,250,0.005239,0.866034,0.859335,0.849755,4.08
opt-ga,cold,9,500,0.005165,0.866944,0.859335,0.849755,8.15
opt-ga,cold,9,1000,0.004911,0.877252,0.859335,0.849755,15.84
opt-ga,cold,9,2000,0.004558,0.888667,0.859335,0.849755,31.66
scipy-lbfgsb,cold,0,125,0.006495,0.862525,0.862517,0.858037,2.03
scipy-lbfgsb,cold,0,250,0.006471,0.863201,0.862517,0.858037,4.02
scipy-lbfgsb,cold,0,500,0.006331,0.866444,0.862517,0.858037,8.01
scipy-lbfgsb,cold,0,1000,0.005435,0.864468,0.862517,0.858037,16.06
scipy-lbfgsb,cold,0,2000,0.004882,0.887299,0.862517,0.858037,32.89
scipy-lbfgsb,cold,1,125,0.006024,0.819191,0.819187,0.832372,2.14
scipy-lbfgsb,cold,1,250,0.006023,0.819268,0.819187,0.832372,4.25
scipy-lbfgsb,cold,1,500,0.005811,0.822720,0.819187,0.832372,8.15
scipy-lbfgsb,cold,1,1000,0.005421,0.825769,0.819187,0.832372,15.53
scipy-lbfgsb,cold,1,2000,0.005261,0.824256,0.819187,0.832372,30.83
scipy-lbfgsb,cold,2,125,0.006439,0.835651,0.835648,0.808888,2.04
scipy-lbfgsb,cold,2,250,0.006416,0.836137,0.835648,0.808888,3.66
scipy-lbfgsb,cold,2,500,0.005684,0.858112,0.835648,0.808888,7.70
scipy-lbfgsb,cold,2,1000,0.005633,0.859240,0.835648,0.808888,21.89
scipy-lbfgsb,cold,2,2000,0.005465,0.859064,0.835648,0.808888,35.76
scipy-lbfgsb,cold,3,125,0.006381,0.867656,0.867659,0.858451,1.65
scipy-lbfgsb,cold,3,250,0.006282,0.866179,0.867659,0.858451,3.40
scipy-lbfgsb,cold,3,500,0.005851,0.874736,0.867659,0.858451,6.87
scipy-lbfgsb,cold,3,1000,0.005535,0.879077,0.867659,0.858451,14.00
scipy-lbfgsb,cold,3,2000,0.005183,0.879349,0.867659,0.858451,27.88
scipy-lbfgsb,cold,4,125,0.006222,0.845700,0.845693,0.755459,1.70
scipy-lbfgsb,cold,4,250,0.006188,0.846329,0.845693,0.755459,3.32
scipy-lbfgsb,cold,4,500,0.005181,0.858074,0.845693,0.755459,6.66
scipy-lbfgsb,cold,4,1000,0.004859,0.859974,0.845693,0.755459,14.08
scipy-lbfgsb,cold,4,2000,0.004494,0.881271,0.845693,0.755459,27.92
scipy-lbfgsb,cold,5,125,0.006533,0.811986,0.811983,0.842144,1.79
scipy-lbfgsb,cold,5,250,0.006525,0.811974,0.811983,0.842144,3.48
scipy-lbfgsb,cold,5,500,0.006477,0.811955,0.811983,0.842144,6.96
scipy-lbfgsb,cold,5,1000,0.006030,0.822699,0.811983,0.842144,13.67
scipy-lbfgsb,cold,5,2000,0.005252,0.852007,0.811983,0.842144,27.12
scipy-lbfgsb,cold,6,125,0.005782,0.890229,0.890228,0.862466,1.68
scipy-lbfgsb,cold,6,250,0.005768,0.890385,0.890228,0.862466,3.41
scipy-lbfgsb,cold,6,500,0.005700,0.891542,0.890228,0.862466,6.81
scipy-lbfgsb,cold,6,1000,0.005599,0.896042,0.890228,0.862466,13.39
scipy-lbfgsb,cold,6,2000,0.005445,0.897749,0.890228,0.862466,28.31
scipy-lbfgsb,cold,7,125,0.005357,0.846882,0.846885,0.870453,1.83
scipy-lbfgsb,cold,7,250,0.005323,0.849114,0.846885,0.870453,3.78
scipy-lbfgsb,cold,7,500,0.005198,0.853452,0.846885,0.870453,7.32
scipy-lbfgsb,cold,7,1000,0.004827,0.856555,0.846885,0.870453,14.80
scipy-lbfgsb,cold,7,2000,0.004558,0.855521,0.846885,0.870453,29.25
scipy-lbfgsb,cold,8,125,0.006406,0.871028,0.871015,0.872438,2.10
scipy-lbfgsb,cold,8,250,0.006394,0.871240,0.871015,0.872438,3.96
scipy-lbfgsb,cold,8,500,0.006370,0.871699,0.871015,0.872438,7.86
scipy-lbfgsb,cold,8,1000,0.006213,0.873247,0.871015,0.872438,16.34
scipy-lbfgsb,cold,8,2000,0.005633,0.881142,0.871015,0.872438,36.09
scipy-lbfgsb,cold,9,125,0.006224,0.859337,0.859335,0.849755,1.98
scipy-lbfgsb,cold,9,250,0.006214,0.859400,0.859335,0.849755,3.82
scipy-lbfgsb,cold,9,500,0.005876,0.861095,0.859335,0.849755,7.40
scipy-lbfgsb,cold,9,1000,0.005550,0.867878,0.859335,0.849755,14.85
scipy-lbfgsb,cold,9,2000,0.005365,0.869661,0.859335,0.849755,29.97
none,kmeans,0,125,0.006495,0.848369,0.848369,0.858037,0.01
none,kmeans,0,250,0.006495,0.848369,0.848369,0.858037,0.01
none,kmeans,0,500,0.006495,0.848369,0.848369,0.858037,0.01
none,kmeans,0,1000,0.006495,0.848369,0.848369,0.858037,0.01
none,kmeans,0,2000,0.006495,0.848369,0.848369,0.858037,0.01
none,kmeans,1,125,0.005449,0.821608,0.821608,0.832372,0.01
none,kmeans,1,250,0.005449,0.821608,0.821608,0.832372,0.01
none,kmeans,1,500,0.005449,0.821608,0.821608,0.832372,0.01
none,kmeans,1,1000,0.005449,0.821608,0.821608,0.832372,0.01
none,kmeans,1,2000,0.005449,0.821608,0.821608,0.832372,0.01
none,kmeans,2,125,0.006190,0.803864,0.803864,0.808888,0.02
none,kmeans,2,250,0.006190,0.803864,0.803864,0.808888,0.02
none,kmeans,2,500,0.006190,0.803864,0.803864,0.808888,0.02
none,kmeans,2,1000,0.006190,0.803864,0.803864,0.808888,0.02
none,kmeans,2,2000,0.006190,0.803864,0.803864,0.808888,0.02
none,kmeans,3,125,0.006129,0.865678,0.865678,0.858451,0.02
none,kmeans,3,250,0.006129,0.865678,0.865678,0.858451,0.02
none,kmeans,3,500,0.006129,0.865678,0.865678,0.858451,0.02
none,kmeans,3,1000,0.006129,0.865678,0.865678,0.858451,0.02
none,kmeans,3,2000,0.006129,0.865678,0.865678,0.858451,0.02
